FechaInicio;FechaFin;Bicicleta;Origen;Destino;CandadoOrigen;CandadoDestino
;;;;;;
31/12/2016 21:46;31/12/2016 21:52;b105;Estación de autobuses;Puente Romano;c1010;c304
;;;;;;
31/12/2016 21:43;31/12/2016 21:49;b173;María Auxiliadora;Plaza Gabriel y Galán;c803;c2202
;;;;;;
31/12/2016 20:53;31/12/2016 21:03;b129;Plaza Gabriel y Galán;Plaza San Julián;c2211;c2604
;;;;;;
31/12/2016 20:30;31/12/2016 20:39;b15;La Marina;Plaza del Oeste;c1202;c2405
;;;;;;
31/12/2016 20:15;31/12/2016 20:28;b118;Plaza San Julián;Estación de trenes;c2604;c904
;;;;;;
31/12/2016 19:10;31/12/2016 19:22;b115;Paseo Canalejas;Plaza de los Bandos;c2502;c204
;;;;;;
31/12/2016 18:48;31/12/2016 18:57;b154;Federico Anaya - Tilos;Plaza de los Bandos;c2108;c205
;;;;;;
31/12/2016 18:34;31/12/2016 19:17;b79;Zurguén;Federico Anaya - Tilos;c1708;c2102
;;;;;;
31/12/2016 18:20;31/12/2016 18:25;b135;Plaza Gabriel y Galán;Plaza de Toros;c2204;c2302
;;;;;;
31/12/2016 18:04;31/12/2016 18:34;b108;Parque Zona Carrefour;Puente Romano;c707;c311
;;;;;;
31/12/2016 18:04;31/12/2016 18:10;b21;Federico Anaya - Tilos;Glorieta Antonio Machado;c2102;c2902
;;;;;;
31/12/2016 17:16;31/12/2016 17:19;b98;Glorieta Antonio Machado;Estación de trenes;c2903;c903
;;;;;;
31/12/2016 17:11;31/12/2016 18:21;b152;Plaza Poeta Iglesias;Plaza Poeta Iglesias;c106;c114
;;;;;;
31/12/2016 16:54;31/12/2016 17:00;b85;Parque Zona Carrefour;María Auxiliadora;c708;c813
;;;;;;
31/12/2016 16:41;31/12/2016 17:22;b79;Plaza Iglesia Pizarrales;Zurguén;c1102;c1708
;;;;;;
31/12/2016 15:53;31/12/2016 16:24;b79;María Auxiliadora;Plaza Iglesia Pizarrales;c802;c1102
;;;;;;
31/12/2016 15:05;31/12/2016 15:52;b173;Plaza Iglesia Pizarrales;María Auxiliadora;c1102;c803
;;;;;;
31/12/2016 14:45;31/12/2016 15:05;b103;Estación de trenes;Zurguén;c910;c1709
;;;;;;
31/12/2016 14:42;31/12/2016 14:47;b142;Plaza Poeta Iglesias;Parque La Alamedilla;c113;c2814
;;;;;;
31/12/2016 14:37;31/12/2016 14:45;b47;Plaza Poeta Iglesias;Paseo Canalejas;c114;c2511
;;;;;;
31/12/2016 14:00;31/12/2016 14:53;b88;Prosperidad;Huerta Otea;c1608;c1805
;;;;;;
31/12/2016 13:39;31/12/2016 13:48;b94;Glorieta Antonio Machado;Prosperidad;c2910;c1618
;;;;;;
31/12/2016 13:34;31/12/2016 13:43;b133;Paseo Canalejas;Plaza de los Bandos;c2507;c209
;;;;;;
31/12/2016 13:18;31/12/2016 14:12;b169;Parque La Alamedilla;Plaza de los Bandos;c2811;c207
;;;;;;
31/12/2016 13:03;31/12/2016 13:10;b43;Parque Zona Carrefour;Parque La Alamedilla;c709;c2807
;;;;;;
31/12/2016 12:58;31/12/2016 13:19;b141;Salas Bajas;Parque La Alamedilla;c2702;c2805
;;;;;;
31/12/2016 12:49;31/12/2016 14:54;b130;Zurguén;María Auxiliadora;c1702;c801
;;;;;;
31/12/2016 12:37;31/12/2016 13:19;b88;Huerta Otea;Prosperidad;c1805;c1608
;;;;;;
31/12/2016 12:28;31/12/2016 12:34;b115;Prosperidad;Paseo Canalejas;c1603;c2502
;;;;;;
31/12/2016 12:13;31/12/2016 12:25;b152;Glorieta Antonio Machado;Plaza Poeta Iglesias;c2901;c106
;;;;;;
31/12/2016 12:12;31/12/2016 12:56;b141;Plaza Gabriel y Galán;Salas Bajas;c2207;c2702
;;;;;;
31/12/2016 12:09;31/12/2016 14:56;b48;La Marina;María Auxiliadora;c1212;c809
;;;;;;
31/12/2016 11:54;31/12/2016 12:00;b63;Paseo Canalejas;Prosperidad;c2504;c1604
;;;;;;
31/12/2016 10:16;31/12/2016 10:22;b10;Parque Zona Carrefour;Plaza del Oeste;c704;c2402
;;;;;;
30/12/2016 21:17;30/12/2016 21:24;b118;Plaza Gabriel y Galán;Plaza de los Bandos;c2204;c203
;;;;;;
30/12/2016 20:11;30/12/2016 20:17;b64;Plaza de los Bandos;Plaza del Oeste;c207;c2409
;;;;;;
30/12/2016 19:30;30/12/2016 19:38;b173;Parque Zona Carrefour;Plaza Iglesia Pizarrales;c703;c1102
;;;;;;
30/12/2016 19:24;30/12/2016 19:37;b64;Huerta Otea;Plaza de los Bandos;c1811;c207
;;;;;;
30/12/2016 19:18;30/12/2016 19:27;b103;Parque La Alamedilla;Prosperidad;c2807;c1612
;;;;;;
30/12/2016 19:02;30/12/2016 19:08;b54;Parque Zona Carrefour;Glorieta CYL;c705;c1913
;;;;;;
30/12/2016 18:45;30/12/2016 18:55;b142;Campus Ciencias;Plaza de los Bandos;c1404;c205
;;;;;;
30/12/2016 18:36;30/12/2016 18:41;b112;Plaza de los Bandos;Parque La Alamedilla;c206;c2815
;;;;;;
30/12/2016 18:26;30/12/2016 18:33;b43;Plaza Iglesia Pizarrales;Parque Zona Carrefour;c1106;c709
;;;;;;
