FechaInicio;FechaFin;Bicicleta;Origen;Destino;CandadoOrigen;CandadoDestino
30/12/2016 18:24;30/12/2016 18:43;b120;Plaza de los Bandos;Federico Anaya - Tilos;c208;c2112
;;;;;;
30/12/2016 18:03;30/12/2016 18:40;b133;Paseo Canalejas;Paseo Canalejas;c2502;c2507
;;;;;;
30/12/2016 17:43;30/12/2016 18:13;b105;Plaza Gabriel y Galán;Estación de autobuses;c2208;c1010
;;;;;;
30/12/2016 17:39;30/12/2016 20:28;b4;Plaza Iglesia Pizarrales;María Auxiliadora;c1102;c804
;;;;;;
30/12/2016 17:36;30/12/2016 17:42;b64;Estación de autobuses;Huerta Otea;c1001;c1811
;;;;;;
30/12/2016 17:29;30/12/2016 17:43;b10;Prosperidad;Plaza Poeta Iglesias;c1604;c112
;;;;;;
30/12/2016 17:28;30/12/2016 17:32;b4;Plaza Iglesia Pizarrales;Plaza Iglesia Pizarrales;c1104;c1102
;;;;;;
30/12/2016 17:21;30/12/2016 17:39;b164;Glorieta CYL;Plaza del Oeste;c1913;c2411
;;;;;;
30/12/2016 17:14;30/12/2016 17:27;b42;Estación de trenes;Prosperidad;c907;c1615
;;;;;;
30/12/2016 17:14;30/12/2016 17:16;b35;Glorieta CYL;Glorieta CYL;c1909;c1909
;;;;;;
30/12/2016 16:59;30/12/2016 17:03;b134;Glorieta Alto del Rollo;La Marina;c2006;c1206
;;;;;;
30/12/2016 16:10;30/12/2016 16:13;b19;Plaza Gabriel y Galán;Plaza del Oeste;c2202;c2403
;;;;;;
30/12/2016 15:40;30/12/2016 15:52;b133;Estación de trenes;Paseo Canalejas;c903;c2502
;;;;;;
30/12/2016 15:18;30/12/2016 15:30;b147;Campus Ciencias;Plaza Poeta Iglesias;c1408;c106
;;;;;;
30/12/2016 15:14;30/12/2016 15:15;b37;Plaza Poeta Iglesias;Plaza Poeta Iglesias;c116;c116
;;;;;;
30/12/2016 15:06;30/12/2016 15:14;b174;Salas Bajas;Paseo Canalejas;c2703;c2508
;;;;;;
30/12/2016 15:05;30/12/2016 15:13;b148;Salas Bajas;Paseo Canalejas;c2702;c2511
;;;;;;
30/12/2016 15:04;30/12/2016 15:11;b156;Plaza de los Bandos;Estación de autobuses;c204;c1007
;;;;;;
30/12/2016 14:48;30/12/2016 14:55;b120;Federico Anaya - Tilos;Plaza de los Bandos;c2106;c208
;;;;;;
30/12/2016 14:38;30/12/2016 14:47;b101;Plaza Gabriel y Galán;Prosperidad;c2206;c1618
;;;;;;
30/12/2016 14:27;30/12/2016 14:38;b37;Parque La Alamedilla;Plaza Poeta Iglesias;c2803;c116
;;;;;;
30/12/2016 14:22;30/12/2016 14:30;b20;Parque Zona Carrefour;Parque La Alamedilla;c702;c2813
;;;;;;
30/12/2016 14:19;30/12/2016 15:17;b147;Plaza Poeta Iglesias;Campus Ciencias;c102;c1408
;;;;;;
30/12/2016 13:31;30/12/2016 13:40;b20;Parque Zona Carrefour;Parque Zona Carrefour;c702;c702
;;;;;;
30/12/2016 13:02;30/12/2016 13:09;b101;Glorieta Alto del Rollo;Plaza Gabriel y Galán;c2004;c2206
;;;;;;
30/12/2016 12:53;30/12/2016 13:13;b147;Plaza San Julián;Plaza Poeta Iglesias;c2602;c102
;;;;;;
30/12/2016 12:50;30/12/2016 13:05;b146;Plaza Poeta Iglesias;Estación de trenes;c108;c905
;;;;;;
30/12/2016 12:49;30/12/2016 13:00;b133;Plaza de los Bandos;Estación de trenes;c205;c903
;;;;;;
30/12/2016 12:16;30/12/2016 12:24;b19;Estación de trenes;Plaza Gabriel y Galán;c905;c2202
;;;;;;
30/12/2016 12:11;30/12/2016 12:37;b135;Barrio San José;Parque La Alamedilla;c505;c2802
;;;;;;
30/12/2016 11:43;30/12/2016 12:06;b47;Federico Anaya - Tilos;Plaza Poeta Iglesias;c2102;c107
;;;;;;
30/12/2016 10:38;30/12/2016 12:59;b168;Plaza del Oeste;María Auxiliadora;c2404;c807
;;;;;;
30/12/2016 10:24;30/12/2016 10:37;b15;Glorieta CYL;La Marina;c1908;c1202
;;;;;;
30/12/2016 10:12;30/12/2016 10:21;b19;Plaza Gabriel y Galán;Estación de trenes;c2202;c905
;;;;;;
30/12/2016 8:57;30/12/2016 9:06;b30;Estación de trenes;Plaza Poeta Iglesias;c906;c114
;;;;;;
30/12/2016 7:37;30/12/2016 8:40;b20;Parque Zona Carrefour;Parque Zona Carrefour;c702;c702
;;;;;;
30/12/2016 7:15;30/12/2016 7:31;b164;La Marina;Glorieta CYL;c1206;c1913
;;;;;;
29/12/2016 21:31;29/12/2016 21:37;b112;Estación de trenes;Plaza Poeta Iglesias;c905;c108
;;;;;;
29/12/2016 21:19;29/12/2016 21:27;b19;Federico Anaya - Tilos;Plaza Gabriel y Galán;c2102;c2202
;;;;;;
29/12/2016 21:11;29/12/2016 21:27;b135;Plaza de los Bandos;Barrio San José;c202;c505
;;;;;;
29/12/2016 20:52;29/12/2016 21:10;b135;Estación de trenes;Plaza de los Bandos;c910;c202
;;;;;;
29/12/2016 20:48;29/12/2016 20:57;b169;Paseo Canalejas;Parque La Alamedilla;c2505;c2811
;;;;;;
29/12/2016 20:37;29/12/2016 20:43;b22;Plaza Gabriel y Galán;Plaza de los Bandos;c2206;c208
;;;;;;
29/12/2016 20:35;29/12/2016 20:51;b101;Plaza Poeta Iglesias;Glorieta Alto del Rollo;c104;c2004
;;;;;;
29/12/2016 20:24;29/12/2016 20:39;b83;Glorieta Alto del Rollo;Plaza de Toros;c2003;c2303
;;;;;;
29/12/2016 20:20;29/12/2016 20:29;b111;Prosperidad;Parque La Alamedilla;c1608;c2809
;;;;;;
29/12/2016 20:03;29/12/2016 20:27;b135;Paseo Canalejas;Estación de trenes;c2506;c910
;;;;;;
29/12/2016 19:55;29/12/2016 20:03;b19;Plaza Gabriel y Galán;Federico Anaya - Tilos;c2203;c2102
;;;;;;
29/12/2016 19:46;29/12/2016 19:51;b22;Plaza de los Bandos;Plaza Gabriel y Galán;c206;c2206
;;;;;;
29/12/2016 19:41;29/12/2016 20:02;b63;Barrio San José;Paseo Canalejas;c504;c2504
;;;;;;
29/12/2016 19:17;29/12/2016 19:33;b83;Plaza de Toros;Glorieta Alto del Rollo;c2303;c2003
;;;;;;
29/12/2016 19:04;29/12/2016 19:22;b174;Federico Anaya - Tilos;Salas Bajas;c2102;c2703
;;;;;;
29/12/2016 18:44;29/12/2016 18:52;b133;María Auxiliadora;Plaza Poeta Iglesias;c809;c102
;;;;;;
29/12/2016 18:37;29/12/2016 18:46;b19;Glorieta Antonio Machado;Plaza Gabriel y Galán;c2904;c2203
;;;;;;
29/12/2016 18:17;29/12/2016 18:27;b116;Plaza Iglesia Pizarrales;Glorieta CYL;c1102;c1905
;;;;;;
29/12/2016 18:13;29/12/2016 18:19;b103;Plaza de Toros;Parque La Alamedilla;c2302;c2807
;;;;;;
29/12/2016 18:01;29/12/2016 18:54;b10;Salas Bajas;Prosperidad;c2704;c1604
;;;;;;
29/12/2016 17:51;29/12/2016 18:46;b137;Puente Romano;Plaza Poeta Iglesias;c302;c116
;;;;;;
29/12/2016 17:38;29/12/2016 17:49;b148;Prosperidad;Salas Bajas;c1604;c2702
;;;;;;
29/12/2016 17:33;29/12/2016 17:33;b28;Parque Zona Carrefour;Parque Zona Carrefour;c705;c705
;;;;;;
29/12/2016 17:10;29/12/2016 17:18;b19;Estación de trenes;Glorieta Antonio Machado;c903;c2904
;;;;;;
29/12/2016 17:05;29/12/2016 17:59;b48;La Marina;La Marina;c1205;c1212
;;;;;;
29/12/2016 17:02;29/12/2016 17:49;b137;Plaza Poeta Iglesias;Puente Romano;c108;c302
;;;;;;
29/12/2016 16:56;29/12/2016 17:04;b25;La Marina;Nuevo Parking Hospital;c1208;c409
;;;;;;
29/12/2016 16:52;29/12/2016 16:59;b5;Estación de trenes;Plaza Poeta Iglesias;c910;c114
;;;;;;
29/12/2016 16:42;29/12/2016 16:52;b174;Parque Zona Carrefour;Federico Anaya - Tilos;c706;c2102
;;;;;;
29/12/2016 16:21;29/12/2016 16:53;b161;Salas Bajas;Salas Bajas;c2702;c2708
;;;;;;
29/12/2016 16:19;29/12/2016 16:51;b127;Salas Bajas;Salas Bajas;c2710;c2702
;;;;;;
29/12/2016 16:17;29/12/2016 16:31;b42;Estación de trenes;Estación de trenes;c904;c907
;;;;;;
29/12/2016 16:09;29/12/2016 16:18;b154;La Marina;Campus Ciencias;c1204;c1411
;;;;;;
29/12/2016 16:05;29/12/2016 16:24;b103;Plaza de los Bandos;Plaza de Toros;c206;c2302
;;;;;;
29/12/2016 16:00;29/12/2016 16:09;b174;Federico Anaya - Tilos;Parque Zona Carrefour;c2102;c706
;;;;;;
29/12/2016 15:17;29/12/2016 15:25;b42;Plaza del Oeste;Estación de trenes;c2411;c904
;;;;;;
29/12/2016 15:06;29/12/2016 15:13;b114;Glorieta Alto del Rollo;Plaza de Toros;c2002;c2311
;;;;;;
29/12/2016 15:06;29/12/2016 15:12;b64;Plaza de los Bandos;Estación de autobuses;c203;c1001
;;;;;;
29/12/2016 14:58;29/12/2016 15:12;b111;Nuevo Parking Hospital;Prosperidad;c408;c1608
;;;;;;
29/12/2016 14:44;29/12/2016 14:52;b114;María Auxiliadora;Glorieta Alto del Rollo;c812;c2002
;;;;;;
29/12/2016 14:39;29/12/2016 15:03;b137;Plaza Poeta Iglesias;Plaza Poeta Iglesias;c110;c108
;;;;;;
29/12/2016 14:33;29/12/2016 14:47;b15;Parque Zona Carrefour;Glorieta CYL;c704;c1908
;;;;;;
29/12/2016 14:28;29/12/2016 14:36;b121;Puente Romano;Plaza San Julián;c302;c2607
;;;;;;
29/12/2016 13:41;29/12/2016 13:53;b15;Glorieta CYL;Parque Zona Carrefour;c1908;c704
;;;;;;
29/12/2016 13:40;29/12/2016 13:50;b64;Plaza de Toros;Plaza de los Bandos;c2305;c203
;;;;;;
29/12/2016 13:34;29/12/2016 13:40;b152;Plaza de los Bandos;Glorieta Antonio Machado;c204;c2901
;;;;;;
29/12/2016 13:09;29/12/2016 13:46;b105;Glorieta Alto del Rollo;Plaza Gabriel y Galán;c2004;c2208
;;;;;;
29/12/2016 13:01;29/12/2016 13:14;b23;Plaza Gabriel y Galán;Parque La Alamedilla;c2202;c2819
;;;;;;
29/12/2016 12:58;29/12/2016 13:42;b120;Prosperidad;Federico Anaya - Tilos;c1610;c2106
;;;;;;
29/12/2016 12:28;29/12/2016 12:38;b5;Plaza Poeta Iglesias;Estación de trenes;c102;c910
;;;;;;
29/12/2016 12:20;29/12/2016 12:28;b25;Plaza de los Bandos;La Marina;c207;c1208
;;;;;;
29/12/2016 12:14;29/12/2016 12:22;b23;Estación de trenes;Plaza Gabriel y Galán;c904;c2202
;;;;;;
29/12/2016 12:07;29/12/2016 12:18;b156;María Auxiliadora;Plaza Poeta Iglesias;c807;c106
;;;;;;
29/12/2016 12:01;29/12/2016 12:17;b154;Glorieta CYL;La Marina;c1905;c1204
;;;;;;
29/12/2016 11:36;29/12/2016 11:40;b25;Plaza del Oeste;Plaza de los Bandos;c2402;c207
;;;;;;
29/12/2016 10:41;29/12/2016 10:57;b176;Estación de autobuses;Tejares;c1001;c605
;;;;;;
29/12/2016 9:54;29/12/2016 10:02;b112;Plaza Gabriel y Galán;Estación de trenes;c2206;c905
;;;;;;
29/12/2016 9:43;29/12/2016 10:02;b130;Plaza del Oeste;Zurguén;c2409;c1702
;;;;;;
29/12/2016 9:01;29/12/2016 9:10;b5;Estación de trenes;Plaza Poeta Iglesias;c910;c102
;;;;;;
29/12/2016 8:53;29/12/2016 9:04;b15;Parque La Alamedilla;Glorieta CYL;c2809;c1908
;;;;;;
29/12/2016 8:47;29/12/2016 8:56;b8;Federico Anaya - Tilos;Campus Ciencias;c2106;c1412
;;;;;;
29/12/2016 8:28;29/12/2016 8:34;b101;Estación de trenes;Plaza Poeta Iglesias;c905;c104
;;;;;;
29/12/2016 7:42;29/12/2016 7:48;b25;María Auxiliadora;Plaza del Oeste;c802;c2402
;;;;;;
28/12/2016 20:21;28/12/2016 20:42;b140;Glorieta CYL;Huerta Otea;c1908;c1807
;;;;;;
28/12/2016 19:59;28/12/2016 20:09;b9;María Auxiliadora;Estación de autobuses;c808;c1005
;;;;;;
28/12/2016 19:50;28/12/2016 19:52;b133;María Auxiliadora;María Auxiliadora;c809;c809
;;;;;;
28/12/2016 19:47;28/12/2016 19:49;b25;María Auxiliadora;María Auxiliadora;c802;c802
;;;;;;
28/12/2016 19:39;28/12/2016 20:25;b15;Glorieta Antonio Machado;Parque La Alamedilla;c2904;c2809
;;;;;;
28/12/2016 19:34;28/12/2016 19:48;b23;Parque Zona Carrefour;Estación de trenes;c706;c904
;;;;;;
28/12/2016 19:18;29/12/2016 7:43;b141;María Auxiliadora;Plaza Gabriel y Galán;c804;c2207
;;;;;;
28/12/2016 19:03;28/12/2016 19:26;b62;Glorieta CYL;Huerta Otea;c1903;c1803
;;;;;;
28/12/2016 19:00;28/12/2016 19:06;b176;Plaza Poeta Iglesias;Estación de autobuses;c104;c1001
;;;;;;
28/12/2016 18:57;28/12/2016 19:15;b37;Parque Zona Carrefour;Parque La Alamedilla;c708;c2803
;;;;;;
28/12/2016 18:56;28/12/2016 19:09;b20;María Auxiliadora;Parque Zona Carrefour;c806;c702
;;;;;;
28/12/2016 18:53;28/12/2016 19:10;b22;Parque Zona Carrefour;Estación de trenes;c705;c907
;;;;;;
28/12/2016 18:51;28/12/2016 18:58;b133;Plaza del Oeste;María Auxiliadora;c2403;c809
;;;;;;
28/12/2016 18:45;28/12/2016 18:51;b159;Glorieta Alto del Rollo;Prosperidad;c2008;c1605
;;;;;;
28/12/2016 18:39;28/12/2016 18:49;b22;Parque La Alamedilla;Parque Zona Carrefour;c2807;c705
;;;;;;
28/12/2016 18:38;28/12/2016 18:43;b25;Estación de trenes;María Auxiliadora;c902;c802
;;;;;;
28/12/2016 18:32;28/12/2016 18:51;b12;Estación de autobuses;Estación de autobuses;c1005;c1006
;;;;;;
28/12/2016 18:15;28/12/2016 18:22;b141;La Marina;María Auxiliadora;c1210;c804
;;;;;;
28/12/2016 17:38;28/12/2016 17:48;b173;María Auxiliadora;Parque Zona Carrefour;c803;c703
;;;;;;
28/12/2016 17:35;28/12/2016 17:44;b174;Plaza de los Bandos;Campus Ciencias;c204;c1412
;;;;;;
28/12/2016 17:34;28/12/2016 17:55;b62;Huerta Otea;Glorieta CYL;c1803;c1903
;;;;;;
28/12/2016 17:34;28/12/2016 17:37;b20;Federico Anaya - Tilos;María Auxiliadora;c2110;c806
;;;;;;
28/12/2016 17:16;28/12/2016 17:38;b12;Plaza Gabriel y Galán;Estación de autobuses;c2206;c1005
;;;;;;
28/12/2016 16:43;28/12/2016 16:51;b118;Parque Zona Carrefour;Parque La Alamedilla;c707;c2809
;;;;;;
28/12/2016 16:33;28/12/2016 17:38;b112;Prosperidad;Puente Romano;c1608;c307
;;;;;;
28/12/2016 16:32;28/12/2016 16:39;b25;Plaza Gabriel y Galán;Estación de trenes;c2210;c902
;;;;;;
28/12/2016 16:30;28/12/2016 16:43;b87;Tejares;Puente Romano;c604;c304
;;;;;;
28/12/2016 16:16;28/12/2016 16:26;b8;Parque Zona Carrefour;Federico Anaya - Tilos;c706;c2106
;;;;;;
28/12/2016 16:12;28/12/2016 16:19;b98;La Marina;Campus Ciencias;c1202;c1413
;;;;;;
28/12/2016 16:11;28/12/2016 16:23;b41;Federico Anaya - Tilos;Campus Ciencias;c2108;c1414
;;;;;;
28/12/2016 15:44;28/12/2016 15:49;b58;María Auxiliadora;Plaza Poeta Iglesias;c802;c106
;;;;;;
28/12/2016 15:41;28/12/2016 15:59;b141;Puente Romano;La Marina;c311;c1210
;;;;;;
28/12/2016 15:15;28/12/2016 15:23;b5;Plaza del Oeste;Estación de trenes;c2402;c910
;;;;;;
28/12/2016 15:15;28/12/2016 15:39;b141;Puente Romano;Puente Romano;c311;c311
;;;;;;
28/12/2016 15:10;28/12/2016 15:26;b112;Nuevo Parking Hospital;Prosperidad;c406;c1608
;;;;;;
28/12/2016 15:06;28/12/2016 15:10;b48;Parque La Alamedilla;La Marina;c2803;c1205
;;;;;;
28/12/2016 15:05;28/12/2016 15:12;b56;Plaza de los Bandos;Estación de autobuses;c203;c1003
;;;;;;
28/12/2016 14:49;28/12/2016 15:03;b141;La Marina;Puente Romano;c1204;c311
;;;;;;
28/12/2016 14:37;28/12/2016 14:42;b62;Campus Unamuno;Huerta Otea;c1302;c1803
;;;;;;
28/12/2016 14:34;28/12/2016 14:45;b101;Plaza Poeta Iglesias;Estación de trenes;c110;c905
;;;;;;
28/12/2016 14:03;28/12/2016 14:36;b152;Glorieta Antonio Machado;Plaza Poeta Iglesias;c2908;c102
;;;;;;
28/12/2016 14:02;28/12/2016 17:38;b173;María Auxiliadora;María Auxiliadora;c803;c803
;;;;;;
28/12/2016 14:02;28/12/2016 17:15;b114;María Auxiliadora;María Auxiliadora;c812;c812
;;;;;;
28/12/2016 13:58;28/12/2016 14:08;b176;Plaza Gabriel y Galán;Plaza Poeta Iglesias;c2208;c104
;;;;;;
28/12/2016 13:52;28/12/2016 14:01;b138;Puente Romano;Zurguén;c304;c1703
;;;;;;
28/12/2016 13:45;28/12/2016 13:50;b121;Plaza Poeta Iglesias;Puente Romano;c103;c302
;;;;;;
28/12/2016 13:43;28/12/2016 13:49;b3;Barrio San José;Zurguén;c505;c1710
;;;;;;
28/12/2016 13:39;28/12/2016 13:45;b34;Parque La Alamedilla;Plaza del Oeste;c2805;c2413
;;;;;;
28/12/2016 13:19;28/12/2016 13:57;b41;Federico Anaya - Tilos;Federico Anaya - Tilos;c2104;c2108
;;;;;;
28/12/2016 13:18;28/12/2016 13:43;b48;Parque La Alamedilla;Parque La Alamedilla;c2803;c2803
;;;;;;
28/12/2016 13:17;28/12/2016 14:06;b105;Plaza Gabriel y Galán;Glorieta Alto del Rollo;c2204;c2004
;;;;;;
28/12/2016 13:15;28/12/2016 13:30;b123;Plaza Gabriel y Galán;Estación de trenes;c2205;c908
;;;;;;
28/12/2016 13:08;28/12/2016 13:13;b22;Glorieta Alto del Rollo;Parque La Alamedilla;c2002;c2807
;;;;;;
28/12/2016 13:06;28/12/2016 13:16;b141;Paseo Canalejas;La Marina;c2501;c1204
;;;;;;
28/12/2016 12:58;28/12/2016 13:10;b116;Plaza de los Bandos;Plaza Iglesia Pizarrales;c201;c1102
;;;;;;
28/12/2016 12:52;29/12/2016 7:39;b156;Estación de trenes;María Auxiliadora;c901;c807
;;;;;;
28/12/2016 12:52;28/12/2016 13:07;b98;Estación de trenes;La Marina;c904;c1202
;;;;;;
28/12/2016 12:52;28/12/2016 13:00;b141;Plaza Poeta Iglesias;Paseo Canalejas;c102;c2501
;;;;;;
28/12/2016 12:46;28/12/2016 12:56;b162;Glorieta CYL;Plaza Poeta Iglesias;c1908;c114
;;;;;;
28/12/2016 12:35;28/12/2016 12:51;b141;Plaza Poeta Iglesias;Plaza Poeta Iglesias;c106;c102
;;;;;;
28/12/2016 12:31;28/12/2016 12:42;b162;Plaza San Julián;Glorieta CYL;c2605;c1908
;;;;;;
28/12/2016 12:27;28/12/2016 12:40;b81;Plaza Poeta Iglesias;Estación de trenes;c104;c912
;;;;;;
28/12/2016 12:23;28/12/2016 13:12;b140;Glorieta CYL;Glorieta CYL;c1910;c1908
;;;;;;
28/12/2016 12:04;28/12/2016 12:22;b141;Barrio San José;Plaza Poeta Iglesias;c503;c106
;;;;;;
28/12/2016 11:58;28/12/2016 12:16;b156;Parque La Alamedilla;Estación de trenes;c2806;c901
;;;;;;
28/12/2016 11:40;28/12/2016 11:57;b138;Tejares;Puente Romano;c606;c304
;;;;;;
28/12/2016 11:22;28/12/2016 11:33;b154;Plaza Gabriel y Galán;Glorieta CYL;c2202;c1905
;;;;;;
28/12/2016 10:58;28/12/2016 11:06;b116;Plaza Iglesia Pizarrales;Plaza de los Bandos;c1102;c201
;;;;;;
28/12/2016 10:46;28/12/2016 11:43;b115;Prosperidad;Prosperidad;c1603;c1603
;;;;;;
28/12/2016 10:42;28/12/2016 10:59;b41;Parque Zona Carrefour;Federico Anaya - Tilos;c705;c2104
;;;;;;
28/12/2016 10:16;28/12/2016 10:21;b25;Federico Anaya - Tilos;Plaza Gabriel y Galán;c2108;c2210
;;;;;;
28/12/2016 10:13;28/12/2016 10:20;b129;Parque Zona Carrefour;Plaza Gabriel y Galán;c703;c2211
;;;;;;
28/12/2016 9:33;28/12/2016 9:43;b129;Glorieta CYL;Parque Zona Carrefour;c1912;c703
;;;;;;
28/12/2016 9:06;28/12/2016 9:16;b81;Estación de trenes;Plaza Poeta Iglesias;c902;c104
;;;;;;
28/12/2016 9:05;28/12/2016 9:19;b140;La Marina;Glorieta CYL;c1212;c1910
;;;;;;
28/12/2016 8:41;28/12/2016 9:15;b54;Puente Romano;Plaza de los Bandos;c307;c208
;;;;;;
28/12/2016 8:25;28/12/2016 8:32;b121;Estación de trenes;Plaza Poeta Iglesias;c905;c103
;;;;;;
28/12/2016 7:46;28/12/2016 7:52;b5;María Auxiliadora;Plaza del Oeste;c804;c2402
;;;;;;
28/12/2016 7:40;28/12/2016 7:55;b142;Estación de trenes;Campus Ciencias;c901;c1404
;;;;;;
28/12/2016 7:37;28/12/2016 7:40;b160;Estación de trenes;Estación de trenes;c910;c910
;;;;;;
28/12/2016 7:32;28/12/2016 7:41;b38;Parque Zona Carrefour;Campus Unamuno;c706;c1307
;;;;;;
27/12/2016 21:44;27/12/2016 21:55;b81;Parque Zona Carrefour;Estación de trenes;c702;c902
;;;;;;
27/12/2016 21:32;27/12/2016 21:46;b141;Plaza Gabriel y Galán;Barrio San José;c2201;c503
;;;;;;
27/12/2016 21:21;27/12/2016 21:31;b141;Glorieta CYL;Plaza Gabriel y Galán;c1908;c2201
;;;;;;
27/12/2016 21:03;27/12/2016 21:07;b58;Estación de trenes;María Auxiliadora;c902;c802
;;;;;;
27/12/2016 21:01;27/12/2016 21:21;b141;Federico Anaya - Tilos;Glorieta CYL;c2102;c1908
;;;;;;
27/12/2016 20:45;27/12/2016 20:55;b141;Parque La Alamedilla;Federico Anaya - Tilos;c2807;c2102
;;;;;;
27/12/2016 20:39;27/12/2016 20:47;b43;Glorieta CYL;Parque La Alamedilla;c1908;c2815
;;;;;;
27/12/2016 20:35;27/12/2016 21:19;b81;Prosperidad;Parque Zona Carrefour;c1608;c702
;;;;;;
